ID;Status;Agendamento;Analista;Agência;Gestor;Projeto;Técnico;Demanda;Descrição;Observação;Data de Abertura;Data de Finalização;Log Agendamento;Etapas_Concluidas
;NÃO INICIADO;2025-10-03;GIOVANA;AG 3107 VISCONDE DO RIO BRANCO-MG;ROSEANE;Encerramento;Matheus Vieira;Desinstalação Total;"03/10 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-10-06;MONIQUE;AG 0239 SUZANO-SP;SABRINA;Empreenda;Bruno Leandro;Instalação nova;"06/10/2025 – 09H
Remanejar: 1 sensores + 1 câmeras 
Desinstalar total: 1 sensor
Instalar novo: 1 sensor + 1 câmera";;;;;
;NÃO INICIADO;2025-10-20;MONIQUE;AG 7155 GUARULHOS-RUA CACHOEIRA;GILSON;Espaço Itaú;Bruno Leandro;Reinstalação Parcial;"EM 20/10/25 AS 09:00HS: 
Ativação:  01 sensor sísmicos ATMs + 03 câmeras do AA + 01 teclado atendimento+01 câmera e 01 Ivp do abastecimento
 
FORNECER E INSTALAR
01 KIT FECHADURA ELETROMECANICA PORTA DO ABASTECIMENTO 
 ";;;;;
;NÃO INICIADO;2025-10-17;MONIQUE;AG 7155 GUARULHOS-RUA CACHOEIRA;GILSON;Espaço Itaú;Bruno Leandro;Desinstalação Parcial;"EM 17/10/25 AS 16:00HS: 
Desativação:  
01 sensor sísmico equipamentos ATMs + 1 TCR do Apoio bateria caixas +3 câmeras do AA + 02 câmeras e 01  IVP do abastecimento + 01 cofre CBL (expediente)";;;;;
;NÃO INICIADO;2025-10-13;MONIQUE;AG 7155 GUARULHOS-RUA CACHOEIRA;GILSON;Espaço Itaú;Bruno Leandro;Reinstalação Parcial;EM 12/10/25 AS 09:00HS: ativação: 08 câmeras do auto atendimento + 02 sensor + 01 controle de acesso;;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 7155 GUARULHOS-RUA CACHOEIRA;GILSON;Espaço Itaú;Bruno Leandro;Desinstalação Parcial;EM 10/10/25 AS 16:00HS: desativação: 08 câmeras do auto atendimento + 02 sensor + 01 controle de acesso ;;;;;
;NÃO INICIADO;2025-10-13;GIOVANA;AG 7856 GUAPIMIRIM-RJ;GILSON;Espaço Itaú;Francisco Gilney;Reinstalação Parcial;"REATIVAÇÃO E INSTALAÇÃO - DIA 13/10 APOS AS 09 HORAS.
3 SISMICOS CEI
3 SISMICOS RECICLADORA
1 FECHADURA  ELETROMAGNETICA COM TERCEIRIZAÇÃO DO ABASTECIMENTO
01 GERADOR (MODERNIZAÇÃO)
01 CENTRAL COMMBOX (MODERNIZAÇÃO)";;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 7856 GUAPIMIRIM-RJ;GILSON;Espaço Itaú;Francisco Gilney;Desinstalação Parcial;"DIA 10/10 - 18 H - ABASTECIMENTO
DECRESCIMO
1 SISMICOS CEI 
 1 CEI COFRE CBL
REMANEJAMENTO
3 SISMICOS CEI
3 SISMICOS RECICLADORA";;;;;
;NÃO INICIADO;2025-10-06;GIOVANA;PAB 2727 BELFORD ROXO BAYER;SABRINA;BLITZ;Francisco Gilney;Reinstalação Parcial;No dia 06/10/2025 - 10H - Reinstalar 1 sísmico;;;;;
;NÃO INICIADO;2025-10-03;GIOVANA;PAB 2727 BELFORD ROXO BAYER;SABRINA;BLITZ;Francisco Gilney;Desinstalação Parcial;No dia 03/10/2025 - 16H - Desinstalar 1 sísmico;;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 4459 RIBEIRAO PRETO-AV CASTELO BRANCO;GILSON;Espaço Itaú;Leandro Prata;Reinstalação Parcial;"Conjunta vistoria  final : 
Reinstalar: AA 
01 sísmico CEI OPTEVA   - ponto novo – utilizar equipamento estoque ITAU (agência encerrada)
 ";;;;;
;NÃO INICIADO;2025-10-02;MARCELA;AG 8405 LIMEIRA MAJOR LEVY SP;SABRINA;Empreenda;Jose Fonrozo;Desinstalação Parcial;Desinstalar 2 sensores de presença + 1 controle de acesso – porta de vidro.;;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 1639 BELO HORIZONTE-BARREIRO;SABRINA;Empreenda;Eduardo Duarte;Reinstalação Parcial;"Segunda feira - 29/09/25 às 9 hs, Vistoria conjunta final:
REINSTALAR:
05 câmeras
08 sensores
01 biometria
02 sísmico de TCR 
01 teclado. ";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 1639 BELO HORIZONTE-BARREIRO;SABRINA;Empreenda;Eduardo Duarte;Desinstalação Parcial;"Sexta feira - 26/09/25 às 17 hs 
 DESINSTALAR:
05 câmeras
08 sensores
01 biometria
02 sísmico de TCR 
01 teclado. 
 ";;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 6065 SP-TERMINAL SÃO MATEUS;GILSON;Espaço Itaú;Eduardo Libano;Desinstalação Total;"10/10/2025 – sexta-feira – 15hrs
Conjunta vistoria de partida
Desinstalação total agência – recolher tudo, inclusive bandeja de cftv";;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 2974 PRAIA GRANDE-CIDADE OCIAN;GILSON;Uniclass;Manoel Xavier;Reinstalação Parcial;"DIA 29/09/25 – segunda-feira - 09hs 
Ativação: 
 01 sensor sísmico  cofre CBLRG NOVO na Tesouraria";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 2974 PRAIA GRANDE-CIDADE OCIAN;GILSON;Uniclass;Manoel Xavier;Desinstalação Parcial;"DIA 26/09/25  - sexta-feira - 16hs
Desativação:
01 sensor sísmico do cofre CBLT na tesouraria p/ recolhimento";;;;;
;NÃO INICIADO;2025-09-30;MONIQUE;AG 0648 SP-PENHA DE FRANCA;SABRINA;Empreenda;Bruno Leandro;Reinstalação Parcial;"No dia 30/09/2025 – às 09H
REINSTALAR: 03 SENSORES – REMANEJADOS 
REMANEJAR: 04 CAMERAS N°21;N°25; N°28; N°37
REINSTALAR 01 SENSOR BIOMETRICO ( PORTA DE VIDRO)";;;;;
;NÃO INICIADO;2025-09-29;MONIQUE;AG 0554 GUARULHOS-VILA GALVAO;SABRINA;Empreenda;Bruno Leandro;Instalação nova;"ESCOPO SEGURANÇA: Segunda feira 29/09 às 10hrs – NOVA ATIVAÇÃO
- 1 Fechadura biométrica (porta de madeira - 1 controle de acesso NOVO. ) ";;;;;
;NÃO INICIADO;2025-09-29;MONIQUE;AG 0393 SP-FARIA LIMA;ROSEANE;Receptora;Alexandre Coello;Reinstalação Parcial;29/09 – Reinstalação de 5 sensores de presença para essa demanda.;;;;;
;NÃO INICIADO;2025-09-26;MONIQUE;AG 0393 SP-FARIA LIMA;ROSEANE;Receptora;Alexandre Coello;Desinstalação Parcial;26/09 – Desinstalação de 5 sensores de presença para essa demanda.;;;;;
;NÃO INICIADO;2025-09-29;MONIQUE;AG 0738 SP-JOAO DIAS;SABRINA;Empreenda;Flavio Pacheco;Reinstalação Parcial;No dia 29/09/2025 - às 09H. REINSTALAR - 6 câmeras provisória + 1 biometria;;;;;
;NÃO INICIADO;2025-09-26;GIOVANA;AG 0738 SP-JOAO DIAS;SABRINA;Empreenda;Flavio Pacheco;Desinstalação Parcial;No dia 26/09/2025 - às 17H. DESINSTALAR - 6 sensores +6 câmeras +1 Biometria.;;;;;
;NÃO INICIADO;2025-09-29;GIOVANA;AG 5665 RIO-CONDE DE BONFIM;SABRINA;Empreenda;Jefferson Bittar;Reinstalação Parcial;"No dia 29/09/2025 - 09H - Reinstalar
6 sensores de presença + 1 controle de acesso por de vidro + 11 câmeras + 1 teclado de alarme + 1 kit wifi";;;;;
;NÃO INICIADO;2025-09-26;GIOVANA;AG 5665 RIO-CONDE DE BONFIM;SABRINA;Empreenda;Jefferson Bittar;Desinstalação Parcial;"No dia 26/09/2025 - 16H - Desinstalar
6 sensores de presença + 1 controle de acesso por de vidro + 11 câmeras + 1 teclado de alarme + 1 kit wifi ";;;;;
;NÃO INICIADO;2025-09-29;GIOVANA;AG 0352 JUIZ DE FORA-MG;SABRINA;Empreenda;Matheus Vieira;Reinstalação Parcial;"Em 29/09/2025 às 10h-
Reinstalação de equipamentos.  
- 04 Câmeras.
- 07 Sensores.";;;;;
;NÃO INICIADO;2025-09-26;GIOVANA;AG 0352 JUIZ DE FORA-MG;SABRINA;Empreenda;Matheus Vieira;Desinstalação Parcial;"Em 26/09/2025 às 17h – 
Desinstalação de equipamentos.  
- 04 Câmeras.
- 07 Sensores.
- 01 Acesso Biométrico.";;;;;
;NÃO INICIADO;2025-09-30;FERNANDA;AG 0648 SP-PENHA DE FRANCA;SABRINA;Empreenda;Bruno Leandro;Instalação nova;"ATIVAR 03 SENSORES REMANEJADOS EXISTENTES NA NOVA POSIÇÃO 
ATIVAR E REMANEJAR CAMERAS 21;25; 28; 37  EXISTENTES NA NOVA POSIÇÃO
ATIVAR 01 SENSOR BIOMETRICO ( PORTA DE VIDRO)";;;;;
;NÃO INICIADO;2025-09-26;GIOVANA;AG 4551 CAMBUCI-RJ;DANILO;Unificadas;Pedro Paulo;Instalação nova;"Realizar vistoria de infra
Fornecer e instalar a(s) câmera(s) n° 15 (Dori-PG) e 16 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmeras n° 17 (escudo/cofre b40), 18 (tesouraria), 19 (cofre CBL)
Remanejar câmera 10 (tesouraria)
Recolher todas as infras de CFTV remanescente
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-05;FERNANDA;AG 0736 SP-CIDADE DUTRA;SABRINA;Empreenda;Thiago Alarcon;Reinstalação Parcial;"Às 17hr - Reinstalar: 8 sensores
3 Câmeras
1 controle acesso ";;;;;
;NÃO INICIADO;2025-10-03;FERNANDA;AG 0736 SP-CIDADE DUTRA;SABRINA;Empreenda;Thiago Alarcon;Desinstalação Parcial;"Às 17hr - Desinstalar: 8 sensores
3 Câmeras
1 controle acesso ";;;;;
;NÃO INICIADO;2025-09-19;FERNANDA;AG 0846 SP-AV CUPECE;GILSON;Espaço Itaú;Thiago Alarcon;Desinstalação Parcial;"Às 16hrs – 
Desinstalar : AA + BATERIA CAIXAS 
01 sísmico TCR - em definitivo – recolher) – excluir a zona
02 sirenes Alonso (abastecimento + externa - em definitivo – recolher) – excluir a zona
01 KIT AUDIO completo (AA + bateria de caixas) 
04 Câmeras (17; 22; 23; wifi)
03 Sensores de presença";;;;;
;NÃO INICIADO;2025-09-22;FERNANDA;AG 0846 SP-AV CUPECE;GILSON;Espaço Itaú;Thiago Alarcon;Reinstalação Parcial;"Às 09hrs – Conjunta vistoria  infra : 
Reinstalar: : AA 
04 Câmeras (17; 22; 23; wifi)
03 Sensores de presença";;;;;
;NÃO INICIADO;2025-09-29;FERNANDA;AG 7482 SP-PARADA DE TAIPAS;SABRINA;Empreenda;Lucas Gonzalez;Reinstalação Parcial;"Às 9hr - Reinstalar
01 Escudo (Publico) - REMANEJADO
01 Biometria (Acesso Expediente) - REMANEJADO
05 Câmeras (Gerencia / Acesso Expediente) - PROVISÓRIAS";;;;;
;NÃO INICIADO;2025-09-26;FERNANDA;AG 7482 SP-PARADA DE TAIPAS;SABRINA;Empreenda;Lucas Gonzalez;Desinstalação Parcial;"Às 18hr - Desinstalar:
01 Escudo (Publico) - REMANEJADO
01 Biometria (Acesso Expediente) - REMANEJADO
05 Câmeras (Gerencia / Acesso Expediente).
05 Sensores de presença (Gerencia / Acesso Expediente).";;;;;
;NÃO INICIADO;2025-09-29;FERNANDA;AG 6493 TABOAO DA SERRA-PAULO AYRES;SABRINA;Empreenda;Lucas Gonzalez;Reinstalação Parcial;"REMANEJAR E  ATIVAR 
02 cameras: 16;17 espaço empreenda 
01 camera : 04 expediente 
Remanejar e ativar 
06 sensores existentes na nova posição 
INSTALAR 
01 controle de acesso (porta de vidro)";;;;;
;NÃO INICIADO;2025-09-19;FERNANDA;AG 3218 COTIA-GRANJA VIANA;IMPLANTAÇÃO;Uniclass;Lucas Gonzalez;Desinstalação Parcial;Às 10hr - Desativar: 03 Sísmicos do CEI's da posição AA06, AA07 e AA10 existente para remoção.;;;;;
;NÃO INICIADO;2025-09-25;FERNANDA;AG 0895 SP-VILA DOS REMEDIOS;DANILO;Demanda Pontual;Lucas Gonzalez;Instalação nova;Às 10hr - Instalar e ativar a nova câmera nº 33 na gerência e uniclass/emp. Instalar e ativar 1 novo NVR na sala online.;;;;;
;NÃO INICIADO;2025-09-25;FERNANDA;AG 0570 ITAPECERICA DA SERRA-SP;DANILO;Dori Doors;Lucas Gonzalez;Instalação nova;"Às 9hr - Realizar vistoria de infra
Fornecer e instalar a(s) câmera(s) n° 38 (Dori-PG) e 39 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmera(s) n° 40 (escudo térreo/cofre b40), 41 (escudo superior)
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal.
Importante: Não substituir nenhum ponto de câmera existente.";;;;;
;NÃO INICIADO;2025-09-22;FERNANDA;AG 1659 SP-CAMPO BELO;SABRINA;Empreenda;Flavio Pacheco;Instalação nova;Instalar: 1 câmera (substituição);;;;;
;NÃO INICIADO;2025-09-18;FERNANDA;AG 6664 SANTO ANDRE-BAIRRO SANTA TEREZINHA;GILSON;Espaço Simplificado;Eduardo Libano;Reinstalação Parcial;"Às 9hr - Conjunta vistoria final:   
Reinstalar: AA 6HRS
01 sísmico ATM";;;;;
;NÃO INICIADO;2025-09-22;FERNANDA;AG 0776 SP-BAIRRO SAO MATEUS;SABRINA;Empreenda;Eduardo Libano;Instalação nova;"Às 13hr:
Instalar
2 câmeras = n° 49 e 50
2 sensores
1 controle biométrico porta de vidro.";;;;;
;NÃO INICIADO;2025-09-22;FERNANDA;AG 0755 SP-PIRITUBA;SABRINA;Empreenda;Bruno Leandro;Reinstalação Parcial;"AS 12HR - Reinstalar
01 sísmico + 05 câmeras
Obs: Deixar em estoque 2 sensores
Instalar
01 controle biométrico";;;;;
;NÃO INICIADO;2025-09-19;FERNANDA;AG 0755 SP-PIRITUBA;SABRINA;Empreenda;Bruno Leandro;Desinstalação Parcial;"AS 17HR - Desinstalar
01 sísmico + 05 câmeras + 02 sensores.";;;;;
;NÃO INICIADO;2025-09-19;FERNANDA;PERSONNALITE 4054 SÃO CAETANO DO SUL;DANILO;Receptora;Flavio Pacheco;Desinstalação Parcial;Às 17hr - Desinstalar 01 sensor de presença, para remanejamento (área mesão);;;;;
;NÃO INICIADO;2025-09-28;GIOVANA;AG 5665 RIO-CONDE DE BONFIM;SABRINA;Empreenda;Jefferson Bittar;Reinstalação Parcial;"28.09.2025 - Ativar: Empreenda (02 sensores de presença, + 01 Biometria (Porta de vidro)); Área Disponível sobreloja (02 câmeras + 02 sensores ) - Térreo : Saguão - 09 câmera (perto PGDM) + 02 sensores (perto PGDM) - remanejar teclado de acesso + 01 escudo - vide fotos no corpo do e-mail (posições provisórias)    ";;;;;
;NÃO INICIADO;2025-09-26;GIOVANA;AG 5665 RIO-CONDE DE BONFIM;SABRINA;Empreenda;Jefferson Bittar;Desinstalação Parcial;"Dia 26/09/25 - às 15h -Desativar -  Empreenda (02 sensores de presença, +  01 Biometria (Porta de vidro)); Área Disponível sobreloja (02 câmeras + 02 sensores ) - Térreo : Saguão - 09 câmera (perto PGDM) + 02 sensores (perto PGDM) - remanejar teclado de acesso + 01 escudo - vide fotos no corpo do e-mail.                                                                                                                                                                                                                                                                        ";;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 2974 PRAIA GRANDE-CIDADE OCIAN;GILSON;Remanejamento;Manoel Xavier;Reinstalação Parcial;"DIA 29/09/25 – segunda-feira - 09hs 
Ativação: 
 01 sensor sísmico  cofre CBLRG NOVO na Tesouraria";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 2974 PRAIA GRANDE-CIDADE OCIAN;GILSON;Remanejamento;Manoel Xavier;Desinstalação Parcial;"DIA 26/09/25  - sexta-feira - 16hs
Desativação:
01 sensor sísmico do cofre CBLT na tesouraria p/ recolhimento";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 8158 SANTOS LITORAL PAULISTA SP;ROSEANE;Encerramento;Manoel Xavier;Desinstalação Total;"10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-09-22;MARCELA;AG 4459 RIBEIRAO PRETO-AV CASTELO BRANCO;GILSON;Espaço Simplificado;Leandro Prata;Reinstalação Parcial;"
22/09/2025 – segunda-feira – 09hrs
Conjunta vistoria  final : 
Reinstalar: AA 
06 sísmicos ATMs
01 gerador + grelha
Fornecer e instalar: AA
01 kit fechadura eletromecânica (01 porta do abastecimento)";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 4459 RIBEIRAO PRETO-AV CASTELO BRANCO;GILSON;Espaço Simplificado;Leandro Prata;Desinstalação Parcial;"19/09/2025 – sexta-feira – 16hrs
Desinstalar : AA + 30HRS 
01 sísmico ATM)  - em definitivo – recolher) – excluir a zona
06 sísmicos ATMs
01 gerador + grelha";;;;;
;NÃO INICIADO;2025-09-22;GIOVANA;AG 3163 JUIZ DE FORA-METROPOLITANA;ANDRESSA;AVCB;Matheus Vieira;Reinstalação Parcial;"22/09/25 às 10h Reativação
1 SENSOR DE PRESENÇA
1 SÍSMICO
1 NVR SCATI 32 CANAIS
1 MONITOR
1 CENTRAL DE ALARME";;;;;
;NÃO INICIADO;2025-09-19;GIOVANA;AG 3163 JUIZ DE FORA-METROPOLITANA;ANDRESSA;AVCB;Matheus Vieira;Desinstalação Parcial;"19/09/25 às 16h Desativação
1 SENSOR DE PRESENÇA
1 SÍSMICO 
1 NVR SCATI 32 CANAIS
1 MONITOR
1 CENTRAL DE ALARME";;;;;
;NÃO INICIADO;2025-09-30;MARCELA;AG 0136 VINHEDO-SP;DANILO;Unificadas;Fabio Barbosa;Instalação nova;"Favor seguir com a demanda abaixo:

No dia 30/09/2025 às 09h

             Realizar vistoria de infra
             Fornecer e instalar a(s) câmera(s) n° 38 (Dori-PG) e 39 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
             Fornecer e instalar a(s) câmera(s) n° 31 (escudo/cofre b40)
             Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
             Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-09-22;MARCELA;AG 0670 CAMPINAS-TAQUARAL;GILSON;Espaço Itaú;Fabio Barbosa;Reinstalação Parcial;"22/09/2025 as 10:00 h.
ativações  
01 fechadura com biometria(porta de acesso ao expediente remanejada
01 sensor sísmico da recicladora RM4 remanejada 
01 câmera  + 01 sensor IVP remanejados dentro da área de abastecimento
 ";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 0670 CAMPINAS-TAQUARAL;GILSON;Espaço Itaú;Fabio Barbosa;Desinstalação Parcial;" 19/09/2025 as 17:00 h.
desativações 
01 fechadura com biometria(porta de acesso ao expediente) ; 
01 sensor sísmico da recicladora RM4; 
02 sensores sísmicos dos TCRs (RECOLHER)
01 câmera + 01 sensor IVP na área de abastecimento";;;;;
;NÃO INICIADO;2025-09-22;MARCELA;AG 7974 BIGUACU-SC;GILSON;Espaço Simplificado;Ismael Geci;Reinstalação Parcial;"22/09/25 ÀS 09:00H
Conjunta vistoria final
Reinstalar: AA
03 SISMICOS CEI 
01 CXP SISMICO 
04 CAMERAS AA 
01 SENSOR AA 
01 TECLADO
01 SIRENE RONTAN
01 GERADOR NEBLINA AA 
Fornecer e instalar:
01 KIT FECHADURA ELETROMECANINCA PORTA DO ABSTECIMENTO ";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 7974 BIGUACU-SC;GILSON;Espaço Simplificado;Ismael Geci;Desinstalação Parcial;"19/09/25 ÁS 17:00H –  
Desinstalar: AA + BATERIA CAIXAS 
01 SISMICO TCR  (RECOLHER)
02 SIRENES ALONSO ABASTECIMENTO E EXTERNA (RECOLHER)
02 AUDIO COMPLETO (RECOLHER)
01 SÍSMICO TCR (RECOLHER)
03 SISMICOS CEI 
01 CXP SISMICO 
04 CAMERAS AA 
01 SENSOR AA 
01 TECLADO
01 SIRENE RONTAN
01 GERADOR NEBLINA AA ";;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 0021 SANTOS-SP;SABRINA;Receptora;Manoel Xavier;Reinstalação Parcial;"
29/09/2025 às 10 h– Ativar um sensor sísmico do TCR remanejado.  ";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 0021 SANTOS-SP;ROSEANE;Receptora;Manoel Xavier;Desinstalação Total;"26/09/2025 às 16h – Desativar um sensor sísmico do TCR.
                                     +   Decréscimo de um sensor sísmico do TCR.";;;;;
;NÃO INICIADO;2025-09-29;MARCELA;PERSONNALITE 9687 BH AFONSO PENA;SABRINA;Acessibilidade;Jose Vieira;Reinstalação Parcial;"Segunda-feira, dia 29/09/2025 a partir das 10:00h
Reinstalação: 
Dos equipamentos de segurança do TCR para substituição dos guichês de caixa: 
1 sísmico
Dos equipamentos de segurança da tesouraria: 
1 sísmico; 2 sensores de presença; 1 teclado; 1 gerador de neblina; 2 câmeras;";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;PERSONNALITE 9687 BH AFONSO PENA;SABRINA;Acessibilidade;Jose Vieira;Desinstalação Parcial;"Sexta-Feira, dia 26/09/2025 a partir das 16:00h 
Desinstalação: 
Dos equipamentos de segurança do TCR para substituição dos guichês de caixa: 
1 sísmico
Dos equipamentos de segurança da tesouraria: 
1 sísmico; 2 sensores de presença; 1 teclado; 1 gerador de neblina) ; 2 câmeras";;;;;
;NÃO INICIADO;2025-09-22;MARCELA;AG 1403 BELO HORIZONTE-AV JOAO PINHEIRO;SABRINA;Empreenda;Eduardo Duarte;Reinstalação Parcial;"Em 22/09/2025 às 10h- Ativação de equipamentos.  
- 08 Câmeras.
- 07 Sensores.
- 01 Acesso Biométrico.
- 01 Sísmico TCR.";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 1403 BELO HORIZONTE-AV JOAO PINHEIRO;SABRINA;Empreenda;Eduardo Duarte;Desinstalação Parcial;"Em 19/09/2025 às 17h - Desativação de equipamentos.  
- 08 Câmeras.
- 07 Sensores.
- 01 Acesso Biométrico.
- 03 Sísmicos TCR.";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 1639 BELO HORIZONTE-BARREIRO;SABRINA;Empreenda;Jose Vieira;Reinstalação Parcial;"Segunda feira - 22/09/25 às 9 hs:
Reinstalar 03 sensores + 03 câmeras, 01 sísmico TCR , 01 biometria.";;;;;
;NÃO INICIADO;2025-09-29;MARCELA;AG 1639 BELO HORIZONTE-BARREIRO;SABRINA;Empreenda;Jose Vieira;Desinstalação Parcial;"Sexta feira - 19/09/25 às 17 hs 
Desinstalar:  03 câmeras + 03 sensores, 01 biometria, 01 sísmico TCR. ";;;;;
;NÃO INICIADO;2025-09-25;MARCELA;AG 1688 CURITIBA-XAXIM;SABRINA;Demanda Pontual;Maicon Mendes;Desinstalação Total;"Seguir com a demanda abaixo:

-25/09/2025 às 11h00 Desativação de 03 sísmicos.";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 0030 ATIBAIA-SP;SABRINA;Empreenda;Paulo Falcon;Desinstalação Total;"Agendar 
SEGURANÇA CONJUNTA DE INICIO DAS ATIVIDAS DIA 19/09/2025 AS 16HS
DESATIVA 1 SISMICO DO GUICHE AS 17HS.";;;;;
;NÃO INICIADO;2025-09-26;MARCELA;AG 3048 SOROCABA-ALEM PONTE;ROSEANE;Encerramento;Darcio Fernandes;Desinstalação Total;"26/09 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 0633 MAFRA-SC;ROSEANE;Encerramento;Filipe Marinho ;Desinstalação Total;" 
Olá boa tarde,
Segue programação:
 
19/09 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 0640 PORTO UNIAO-SC;ROSEANE;Encerramento;Lincon Eberhardt;Desinstalação Total;"
19/09 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-09-19;MARCELA;AG 3334 BELO HORIZONTE-RUA PADRE ROLIM;ROSEANE;Encerramento;Eduardo Duarte;Desinstalação Total;"
19/09 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.
Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.";;;;;
;NÃO INICIADO;2025-09-24;GIOVANA;AG 6094 APERIBE-RJ;DANILO;Unificadas;Pedro Paulo;Instalação nova;"No dia 24/09/2025 às 09h

 Realizar vistoria de infra
 Fornecer e instalar a(s) câmera(s) n° 22 (Dori-PG) e 23 (Dori-SIF) - Modelo da câmera a ser instalada: FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
 Fornecer e instalar a(s) câmeras n° 24 (biombo), 25 (espera), 21 (escudo/cofre b40)
 Recolher todas as infras de CFTV remanescente
 Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
 Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-09-16;MARCELA;AG 4257 PARAOPEBA-MG;ROSEANE;Encerramento;Eduardo Duarte;Desinstalação Total;16/09 às 10:00h - Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV e PGDM.;;;;;
;NÃO INICIADO;2025-09-24;GIOVANA;AG 6175 ITALVA-RJ;DANILO;Unificadas;Pedro Paulo;Instalação nova;"No dia 24/09/2025 às 09h
 
Realizar vistoria de infra
Fornecer e instalar a(s) câmera(s) n° 26 (Dori-PG) e 27 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmeras n° 28 (tesouraria)
Recolher todas as infras de CFTV remanescente
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
